MeanLength,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19,,8148,,,5570,,,,,,,4949,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1059,4154,,15621,0,,,,,,,34637,,,438,,,301,,,,,,,,,,,,,,,,,,,,
21,3886,273,,0,0,,,,,1064,,49328,,,822,,,0,,,,,,,,,,,,,,,,,,,,
22,4968,27978,,0,14601,440,,,,0,,29690,715,628,1558,3748,,344,,,,,858,269,122,527,,,,,,,,,,,,
23,17598,38825,9482,32234,26483,6506,3623,,1624,11625,,14845,5640,0,76,1125,358,0,286,,204,,375,467,234,310,,,,,,,,,,,16.7,
24,10263,136660,65080,50657,61017,3432,735,,2552,11935,12802,75433,5303,651,14123,5902,366,2177,855,,756,77,936,776,238,294,90,,,,,,,,,,19.66,
25,49762,214840,35814,91613,59756,74405,12106,,812,28338,10173,12968,24175,31213,21498,6606,3567,6013,2466,4921,1640,324,3066,2723,321,663,470,64,,,602,,163,289,,4,15.52,0
26,69061,217976,164604,121381,178321,56162,36494,621,6293,59057,7032,59907,57068,39918,26042,22530,4584,18379,4852,12742,2994,586,3082,3020,1821,2237,597,0,,,0,24,258,17,,6,48.29,4.2
27,133484,320674,306048,198788,109550,217037,5196,2413,15052,150445,64086,37075,100043,49590,40228,20627,7695,9014,3333,19880,7979,685,4216,5189,2973,1409,1689,53,1189,148,671,24,501,289,,14,140.55,9.73
28,168106,379413,395363,311681,209413,142088,80174,14155,75078,551547,222981,54530,137948,109811,67281,66089,25159,37417,16438,61347,19811,727,11277,12846,8617,3513,1521,0,1227,0,1218,131,848,516,,15,145.93,6.9
29,162048,383203,503215,375145,227439,189445,68968,11829,58670,421991,169445,57280,140207,90202,102623,79965,13451,58943,13408,64674,35229,3225,12972,9744,8935,4843,2929,169,1248,558,1527,293,545,516,,23,124.05,68.41
30,270004,535354,648288,605196,219908,179316,278577,39978,101794,726857,241497,108634,176881,231370,111000,203735,39831,108516,51460,69504,74755,5856,19497,19504,11080,7687,4880,397,4299,593,2143,2222,2190,5503,582,17,194.74,69.8
31,284120,571523,717691,569188,320314,248435,300184,43919,174573,651917,268056,74812,177777,184279,161678,143545,34570,80155,45076,89115,79588,14080,19896,24638,18275,13845,5031,443,5108,605,0,1089,763,4217,982,29,107.63,106.34
32,385609,542793,926026,528552,365730,302514,377370,151885,272606,707840,499926,194978,190004,219575,187416,244668,41352,104446,75640,182428,129516,16164,26745,29541,23846,17097,7425,614,9846,754,395,1353,1488,6849,2056,55,185.69,166.02
33,425093,501008,845998,421410,397006,200660,502110,161260,247667,530509,406815,292972,206185,234314,203272,185175,25301,57751,59639,220162,121893,24912,28734,45236,33762,30893,5950,1574,9394,1496,1584,2913,1977,5137,3948,106,290.99,602.63
34,499762,466253,825588,648301,545220,286762,503409,188410,228331,547336,579893,275483,274375,234326,267956,392516,66516,163124,127210,194013,164015,29216,29863,42096,28483,34676,7780,2067,12609,5065,753,1745,2495,10158,6165,136,286.13,1021.5
35,532736,476224,699759,485477,404026,393119,515990,244954,320501,493695,642772,383745,281935,326575,229119,282483,94557,132821,135066,177126,198144,47386,35624,50033,47520,43499,10064,2691,16035,11635,2439,3408,6289,18001,14172,158,435.1,1479.61
36,541618,424432,750288,570535,406903,492489,566586,154567,283925,482817,477881,275684,329876,234215,212484,283074,61076,141481,102716,181200,181805,39397,40533,53516,48818,44605,14885,3314,13952,9942,2702,4090,9673,11647,14665,210,868.47,1673.7
37,424861,376574,555194,464477,379529,537708,840722,312953,253238,448148,568882,310593,265263,260985,206651,185772,93419,111731,94402,210493,170692,63118,47679,44478,52465,51696,15160,3663,20488,16408,4113,5200,7312,8928,13834,211,1549.5,2330.08
38,335161,421084,343300,299382,406232,246467,572821,330827,240629,443090,467825,320911,295835,300625,226058,219597,85741,102622,70576,190939,113925,67877,48242,49249,49886,44087,18641,4575,18282,31600,2604,4245,7408,11862,18446,191,1600.69,2582.05
39,336173,346156,318509,380187,253742,253368,346605,194353,143662,254072,329888,194120,209661,174339,172512,163166,56339,73334,50903,144645,82618,51415,38240,39331,42048,41057,17008,4830,14674,23421,4177,11728,7463,7506,12110,161,1446.26,2754.82
40,315313,310935,321352,379970,298127,356195,474240,277091,164713,295062,410174,255305,187071,294616,152108,220684,113649,96582,80517,145985,121504,65680,49166,44840,41220,40578,22277,5748,11353,54709,5910,5230,7564,9176,15759,223,1211.29,2826.83
41,232413,291274,188425,233784,193384,123093,406784,300401,136108,228975,297791,164452,113984,144753,121338,98040,58998,59598,44845,86060,72737,44955,43478,33720,37720,35542,23776,4468,14157,45761,7857,3189,6295,6216,9479,190,1285.06,2363.94
42,243470,239555,312832,158695,185231,157328,517870,218777,107610,183767,282762,191349,160224,183706,99126,117274,62242,65911,44306,115848,82281,50925,40147,27415,33669,31654,22690,4450,11170,32558,8793,4014,5981,6593,7678,217,1942.49,2122.04
43,151782,149277,162922,256615,202912,195606,244910,246013,116619,166597,236094,141213,85455,136049,82838,62280,51064,35362,18157,83258,48946,42432,35062,26407,29182,35282,21186,5906,13265,42263,8702,6171,5401,8732,7546,185,1488.43,1413.14
44,128236,101578,150870,191011,79108,190711,210763,180755,73446,102772,165500,153064,76862,86908,61082,50968,46895,37864,32378,74978,87712,36928,25922,19317,20687,26535,16976,7844,12552,30887,3775,5160,5136,6777,5513,179,878.68,1376.89
45,166219,95052,162046,79120,88921,69528,192186,177891,66452,113787,122652,126641,81344,109857,54288,55083,56421,48326,28465,57578,59624,34020,29604,17785,22707,28807,14730,6634,13617,20741,3756,3706,3182,8129,4182,155,640.18,1016.51
46,82012,70810,96857,166168,57839,154061,65816,144286,43189,69868,128673,116911,44381,57303,41505,19031,22865,24600,15416,28600,55978,44317,21084,15227,17478,23436,12065,4472,14108,15879,4832,4780,4077,4407,2785,127,853.45,836.25
47,74707,41479,55276,62460,67216,103010,58027,120036,44340,60275,88370,26862,35808,43829,37456,25582,25038,17367,7511,15294,29513,36436,17462,10807,11648,19844,13254,6351,14461,11816,4864,1469,2568,4279,2503,103,804.48,623.32
48,58964,39484,157533,74550,16164,59389,64459,139489,37222,39379,34326,66519,21632,25071,24323,16251,22054,14092,13847,21278,29854,29744,15698,9923,10647,14928,10572,4197,12587,11929,6841,2245,970,2773,1890,97,719.38,524.41
49,28046,15669,83825,34460,16601,69485,32193,67658,21756,29864,43027,20451,24499,9500,17754,8876,9580,12769,8825,16613,18727,21620,12403,8116,7087,12585,9879,4718,10408,13546,7378,2029,748,2089,1653,102,421.7,262.03
50,29109,15054,56107,30521,24747,33069,21534,55218,14234,21391,25628,22823,16242,12497,17453,18540,22108,25026,9376,13239,21308,19833,14718,7728,8886,12097,6945,4517,8140,10114,7496,1257,1104,1789,2376,62,287.6,241.29
51,25879,14409,63991,36635,15235,7602,21306,29534,10854,5479,15621,15486,8317,6238,10813,1918,4667,4397,6060,15281,30699,16287,9827,5021,7426,7888,8627,3396,8349,2988,2580,1847,517,1541,1179,51,243.01,171.96
52,8143,5381,2790,2350,6901,11397,8850,33184,14096,3852,32748,26141,10815,4948,4520,4235,7576,8303,6795,8752,16112,11873,10235,5994,6177,5533,5501,3567,5300,5903,4998,1785,758,1580,776,34,441.45,124
53,9037,8537,6363,31986,2316,1313,4903,38433,14993,6872,10953,19895,7895,5953,9646,583,3220,3921,2187,14992,12374,10059,6963,5508,4973,4943,6070,4482,5413,2899,1897,2042,961,1247,753,23,334,63.61
54,3786,6084,25189,32992,889,705,5384,21572,6738,1341,5083,2150,6795,3648,6027,542,2444,4757,4746,1995,3605,6851,5669,4232,3402,3164,4346,2544,5365,4302,689,1667,314,809,612,8,197.27,24.89
55,7216,4593,24519,3516,242,3139,2692,11987,6996,1120,11598,9897,6471,1877,4113,2110,1235,7106,7046,6872,9023,5633,5207,3880,3651,2337,4933,3297,4405,5017,504,461,718,391,338,8,160.3,78
56,554,1910,24519,4805,104,1232,1947,7326,1087,2950,2351,1547,4201,1372,2355,418,2214,3966,2004,4995,6138,4076,4189,2954,8301,2503,3644,2876,3304,2792,2784,991,210,457,212,14,163.3,103.85
57,2991,745,0,2049,242,5650,4202,8285,3358,1144,176,0,5096,663,2023,680,220,1598,2710,488,5183,5261,2984,2169,2660,2214,4327,2269,4020,2734,417,450,228,127,180,8,149.54,48.74
58,875,2960,669,219,11376,8422,0,2861,862,2028,205,464,1789,364,4536,172,581,1310,4079,1310,8872,3770,3684,2569,1674,1375,3938,2507,2113,3423,824,907,720,0,146,8,117.79,52.27
59,2019,255,0,1273,1383,0,10176,1874,1730,425,176,273,764,1027,2111,261,222,287,320,600,4173,4642,2173,1479,942,884,2215,1872,1795,1283,162,768,366,17,69,4,32.69,0
60,1851,2013,669,622,120,440,1519,8108,1238,152,727,0,258,712,2198,308,555,48,2136,1296,2133,1866,2225,1774,1004,1098,1613,2284,2574,1405,267,213,162,171,108,6,73.39,1
61,32,1781,,800,52,0,0,4171,1626,0,0,0,451,603,2495,124,265,0,1750,0,1450,951,2656,1090,940,643,2022,1177,814,1960,1026,0,298,0,39,2,20.19,0
62,2545,2024,,681,294,0,0,2323,0,710,1454,0,497,1200,2673,172,160,154,467,156,3092,2449,2160,1138,6674,512,930,1703,1017,1960,17,707,49,64,68,3,42.53,11.49
63,1228,532,,660,0,643,0,1180,177,456,60,0,524,1184,502,1101,79,,225,348,9996,460,1878,1041,600,665,1398,1270,876,807,13,0,59,108,25,2,42.61,0
64,1088,128,,842,120,643,1519,2018,954,0,0,0,131,574,787,124,79,,216,78,470,713,1716,1080,5915,320,1132,1042,275,2018,108,163,95,64,10,2,17.91,0
65,792,319,,468,329,643,11866,1221,389,1591,997,0,131,162,2399,0,0,,288,97,4170,1050,1985,1113,630,330,1027,708,615,0,108,0,40,0,14,2,9.98,14.14
66,335,895,,878,52,0,0,613,778,0,,0,0,162,1089,1101,79,,513,79,511,1679,815,579,384,169,949,939,585,1359,0,163,301,44,35,0,9.57,0
67,646,1630,,468,0,0,0,0,954,393,,0,21,118,303,1101,79,,66,0,2194,1230,1330,735,606,377,751,818,383,1155,0,0,40,0,0,0,8.07,10.07
68,338,1171,,794,0,0,1519,226,566,0,,0,176,54,1235,124,79,,271,0,464,1000,1049,824,297,26,511,1156,674,1835,7,0,79,44,14,1,29.36,9.73
69,1173,319,,592,0,0,1519,510,954,0,,0,131,0,536,0,239,,47,0,50,1689,690,646,203,149,614,605,307,401,,30,40,,10,0,9.68,0
70,361,1214,,842,0,0,0,56,177,121,,0,0,0,1340,319,671,,1018,0,2084,1116,944,625,246,68,422,597,104,479,,,20,,29,1,7.47,11.07
71,608,810,,249,0,0,1519,0,954,304,,0,0,0,0,48,79,,86,0,90,694,1542,428,5850,211,189,794,202,0,,,83,,14,0,6.42,15.33
72,866,361,,0,0,643,,226,0,0,,81,0,0,428,124,79,,154,97,138,864,855,444,5783,106,464,517,69,479,,,63,,0,0,1,
73,103,532,,924,0,0,,0,566,0,,0,318,0,251,0,0,,0,0,16,518,741,508,122,69,371,552,336,479,,,63,,0,0,16.87,
74,399,682,,468,52,0,,510,0,152,,0,318,242,929,583,89,,434,192,501,484,536,185,81,84,0,455,249,479,,,0,,0,0,8.12,
