talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12.5,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944
13.5,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883
14.5,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022
15.5,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426
16.5,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648
17.5,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842
18.5,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912
19.5,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201
20.5,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288
21.5,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863
22.5,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958
23.5,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217
24.5,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415
25.5,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768
26.5,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387
27.5,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665
28.5,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467
29.5,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028
30.5,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885
31.5,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561,23.3415561
