talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,
12,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,1.258067944,,,
13,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,1.60443883,,,
14,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,2.010904022,,,
15,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,2.482656426,,,
16,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,3.024946648,,,
17,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,3.643079842,,,
18,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,4.342412912,,,
19,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,5.12835201,,,
20,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,6.006350288,,,
21,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,6.981905863,,,
22,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,8.060559958,,,
23,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,9.247895217,,,
24,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,10.54953415,,,
25,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,11.97113768,,,
26,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,13.51840387,,,
27,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,15.19706665,,,
28,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,17.01289467,,,
29,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,18.97169028,,,
30,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,21.0792885,,,
