talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,4239,15172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,2474,25480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,108363,61013,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,113495,254545,9073,0,0,0,0,0,0,0,0,3063,13552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,34688,529385,11820,0,0,2730,0,0,0,0,0,3063,11684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,332645,632285,18518,0,0,0,1418,0,0,0,0,12252,6008,0,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,295134,932934,31644,0,0,0,0,0,0,0,0,28067,29085,0,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26930,470344,1251678,59280,5270,387,5461,536,13388,0,0,0,48575,91520,1870,13344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26930,815720,1675089,113373,11766,11802,8986,2881,35252,0,0,0,93606,178648,650,16731,345,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,27367,749782,1720500,209361,26509,48721,54391,32902,103674,5081,473,0,59008,195117,4937,10253,960,127,0,47,0,0,0,0,0,0,0,0,0,183,0,0
23,59137,801351,1700289,269196,64721,40527,40147,72784,226406,9892,4314,383,84695,286459,12866,14998,0,242,259,0,360,0,0,0,0,0,0,0,0,5,0,0
