"length","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
3.5,0,0,0,0,0,0,0,0,1349286,0,0,0,0,282386.12,76904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,4281037,171956,1527,48637,0,0,12676995,0,0,1830574,113762,211277.31,274755,35584,0,16257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,18371017,3937228,29018,706893,0,0,67819283,1333027,4655928,17055364,806404,1747585.33,1463072,116275,25370,130064,0,0,0,0,0,0,0,0,0,0,0,0,0,5047
5,64688,0,32251146,54991246,90023,1831793,0,0,160893713,11492104,25824726,41100084,4886709,5808680.96,3870681,218084,53803,146322,0,0,0,0,0,0,0,0,0,0,0,45462,5252,5047
5.5,86251,0,46583672,80536890,368660,3246934,0,0,129791150,38721933,57085884,36181025,9251152,9844138,8742129,653305,213296,81290,0,0,0,0,0,0,0,0,0,0,9084,34097,122414,0
6,0,0,45810220,43303347,983188,5030957,0,0,52811605,53185343,82441650,19366091,12753186,12499866.5,13778906,1763017,395900,445378,372540,0,0,0,0,0,394206,0,0,80458,54503,217183.95066,170751,19929
6.5,0,1185220,44453694,28102013,2685309,6463051,6091799,0,33640349,50275260,76693632,20421092,11200479,15891413,17767545,3132178,759286,734203,833309,245865,0,0,0,194881,64536,0,28185.32,563574,30461,1101186.3459,508054,35250
7,226245,3905785,37065036,17846638,4093840,6168957,13329715,0,32469426,62492180,68074156,17748786,11371365,16807901,14238195,4799900,1745128,1112191,2290296,2035628,76347,4698,23603,687146,2042172,1482657,39779.59,824218,412936,2443749.3967,557943,84214
7.5,347398,5609097,34614425,20447920,7177885,7507244,20415401,402325,19087604,42120076,43197477,19089454,19786209,11232603.93,14800186,5389033,2357582,3040908,6570337,4093311,611825,111887,249140,1416607,3152512,2406792,563206.150235811,2153788,594786,3320400.36565357,623162,174909
8,1871183,15959199,32561873,20036642,15632339,8324948,26136388,402325,8949369,45119531,32963766,20834524,19131810,17746959,14137193,10074289,3612803,14964788,8618838,14184754,2023844,420931,613136,4842667,9146497,6645719,3166721.66969327,2274769,886283,6606030.20847146,973234,262616.066484483
8.5,7891784,36001158,43081008,17916454,22442270,7748368,24497255,454263,11775922,36200381.5,47796042,15724394,18248842,20135046,18210670,17371352,5683362,37584318,21028820,41027522,3387309,855722,2043465,10054880,18517329,14331482,10416388.3574394,6844598,2104164,15824960.6186493,2305850.9700825,3821785.1895725
9,13491569,31904828,53015831,19744636,16923755,7819807,22586478,2798762,12006625,20009474.5,78560900,14937276,19195686,23524325.2,29985404,23525066,15726184,44825821,42067109,67591737,6384557,1957173,4464630,22866798,23515936,27511196,43805283.5480922,21317581,7646854,34202498.0206534,5345555.94578074,29058541.8510583
9.5,26090012,36222187,88096532,34407545,23280211,8611666,16519960,9153192,6843948,13611101.5,106349679,17486516,27141885,30307136,66330354,33446401,35970486,39459040,54705980,70598147,11915392,5000644,9915627,38238498,23309439,44975512,60743399.2734795,52839653,25677384,50198429.098908,10357191.11795,39758347.7983135
10,42790510,69717482,115049581,40656441,37450325,7319710,26383190,10742729,4887387,8950508,132105718,23530405,33702875,36794428.25,67731880,43164465,57645435,64281529,52754545,74600503,13000112,10044519,16703168,58448608,21167628,61758584,122634643.82797,90888136,48606430,77584804.7534329,20587458.7172781,40610353.152364
10.5,60759899,82714756,108001093,59677716,38309578,9198851,30569746,13282272,7156083,12230804,150718094,31482270,25736307,44579561,60360084,48805379,61361117,115116641,59313552,68234573,12477100,17560956,31843281,75134012,17320897,59194016,116626470.648587,93929919,71339593,111922741.934877,28506655.413861,27575154.4571805
11,73498693,82718082,86756722,67113098,39426440,8500374,31535598,8408231,17343135,22647028,158805857,33603571,21264582,52267300,66571740,50796692,64191993,60964194,68275366,61863370,13606955,27328579,41347780,101812221,20413863,45127779,138743338.116678,98243310,64505641,88057581.6926661,40657407.3231678,53483094.9566428
11.5,61624329,64599233,72875245,63013075,36882762,10153961,37309970,7340035,21737796,27353261,133585306,40003708,18321233,60882477,65751601,44753281,60306731,30119310,50360165,58160364,15201438,26827753,43215232,102604513,27426242,40621301,102185178.647807,79974886,76621753,61365012.9158434,48839060.889211,65790513.3185878
12,66239435,50822901,50592032,65982505,39499560,24245989,29363353,5279307,17854544,39131078,99585677,55613938,18072861,68751035,79576424,43017388,62434857,40492308,45832821,57636789,19411646,24252514,32043113,75403913,30864622,35178568,99018887.4337854,61989052,62075887,25997837.1470286,64963360.4966785,71470984.7840488
12.5,42651384,42791418,34022648,54032517,33180773,33554966,33559626,4501640,11543632,45266888,76284983,66384447,14269016,70515855,61847546,38544133,46566845,21081317,32697265,36691369,28487970,24354069,23654991,56988303,43450710,42778277,65486118.0022448,42466325,62067656,15280202.8527299,52335975.1321477,49059634.638036
13,26052735,20237325,19021994,45191107,19866612,27542801,17542835,2298738,6450296,46851687,44978601,52625397,11478407,61298422,54682972,33672643,43285124,19522603,35112388,39530788,29587997,24976968,21091603,31704139,40663082,36429233,60039611.9125281,38520217,51098833,9759120.31354872,37930267.7602026,24981857.3531648
13.5,9414716,11846101,12683353,21332981,7002837,13059422,9601681,1957033,4468131,38182581,25038182,38719318,8955237,52004133,54883750,21756146,22453511,15870459,13753741,18098892,24818668,21367399,12336572,12924535,37926217,29533497,33527202.0642907,26031425,42146435,8238874.18140189,20214936.2441823,19030680.5841588
14,4954151,8397020,5779329,13683946,3785302,5709840,6492811,1205224,3879908,19126654,11846658,22962241,6704169,40114625.1,32016282,18802286,14335538,10081453,8568153,5609391,18835667,14297302,9643222,8836276,24051642,14844262,20325803.590863,21729239,22620952,4238035.89499788,14935378.6347325,9852849.8515454
14.5,560575,3047828,1671329,4097421,2293318,2792716,5495237,194478,1989947,11267762,5712155,13247087,3642558,23847713.42,26054908,8869897,5367403,2243269,2140364,3305747,11826060,8417087,4071639,8179764,15252581,10769525,6904368.75081179,10639254,16262514,3526421.12601759,7320865.70074541,5265642.44902013
15,6101949,2146756,816610,2390653,520969,1081717,4216860,219046,788953,6370443,2080057,6810626,2770095,16376140.35,14274871,7414993,1719751,834997,1962954,4641228,8107252,6374747,1894746,6626381,6685395,5692992,2851490.29469387,10301209,5956421,3013687.98496966,3773940.95518957,1709396.80808694
15.5,2985430,1757445,402195,1175265,1044771,524967,1053983,7621,701843,3764071,578935,2422162,961469,9565702.52,6655422,3417512,762034,306400,171659,55892,3497225,2152164,681971,3150151,3356169,2954300,1263482.07298285,3738055,4179772,1159804.75252607,740909.270937939,1914091.89555421
16,2994776,4974776,369771,1892569,271098,75476,977117,0,158956,2223589,137723,888705,282764,8504619.45,3936442,1608758,106941,200898,441154,44395,2679816,967282,235570,1152269,1084892,1084625,730226.607440587,4359789,2035218,847294.907490868,544671.792595568,747395.73231614
16.5,2620726,7842022,489454,2293367,225339,16547,443339,0,0,295787,0,245770,3749,5178829.76,945902,721450,329062,36,0,0,767280,82259,114974,226930,794612,329343,28899.7,406003,962873,127635.289315912,31928,608786.523266406
17,251661,4584161,274859,1710603,74680,0,216459,0,0,0,0,0,97095,3148815.48,784463,493225,0,0,0,0,427791,4995,33690,185468,138952,86682,18317.83,715260,4114,158697.409680784,58459,291960.6861439
