talla,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12.5,0,0,7594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,66181,8178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,66181,10497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,339166,84532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,75996,135341,5393,0,0,0,0,0,0,0,0,0,4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,92508,175731,8053,0,0,5015,0,0,0,0,0,0,232,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,346012,567283,10508,0,0,2508,0,0,0,0,0,5995,13190,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,378665,1063990,12431,0,0,0,0,0,0,0,0,13482,25327,142,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,579149,1464200,51718,1620,5333,5438,7054,12833,2601,0,0,43006,62366,900,13323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,435904,1644548,113342,2414,16403,10697,6951,47926,0,0,0,32452,62640,1686,7751,0,22,729,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,11974,895375,1799052,243190,28811,64785,33881,19497,105372,7187,593,0,76088,157787,3676,0,180,269,661,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,50590,1086093,2356584,374374,53324,73386,35616,92608,169951,15896,1278,0,44031,240750,1518,13532,259,93,0,0,133,0,0,0,0,0,0,0,0,0,0,0
24.5,98448,949047,2101988,672940,136964,114759,68073,240098,287338,24318,4949,0,36259,238776,7758,10117,787,465,262,191,664,0,0,0,0,0,110,0,0,0,0,0
25.5,85355,1252249,1316124,963996,228830,197195,92664,436847,484365,72678,29107,7221,58778,240353,10572,17635,704,662,533,163,3626,31,0,204,0,0,169,0,0,0,0,7
26.5,198422,800780,1090118,844586,341191,328410,128733,335572,514771,111038,26038,26124,69786,192549,14324,11134,2561,969,1829,409,889,0,0,68,0,44,61,0,0,0,107,0
27.5,439588,1140296,829981,714487,415660,625683,163819,451435,442472,191566,48017,37854,65572,204304,34812,15806,7070,6305,2584,607,1986,329,0,0,0,85,160,69,0,0,161,376
28.5,653789,918015,897508,1130756,575619,691063,247977,694857,471684,237904,69601,64164,49516,114435,29741,12389,10992,5467,3397,2515,6737,91,0,0,97,44,268,0,0,0,107,227
29.5,623522,762850,651559,977007,570527,694782,335200,596946,383697,275415,83446,85784,58226,137711,26415,26203,7684,5432,5226,1893,3563,470,0,78,32,20,465,8,0,5,298,0
30.5,752126,844035,635751,866789,621682,776557,413827,856089,493064,320853,143541,101196,82438,142135,41739,28763,15447,15315,7807,7042,6697,3636,0,1546,434,402,664,86,303,148,532,199
31.5,1196566,449076,457370,993830,627445,617214,419960,721467,359999,356525,169413,130489,69249,91690,41514,27778,11520,13018,8031,5650,9731,3821,64,858,58,316,108,11,0,0,0,301
32.5,1324674,885062,630874,1038936,650534,591179,421109,884821,308205,430384,190327,152784,131310,135736,65267,41083,20294,15516,16448,12036,12134,8241,369,3226,1075,498,65,69,303,0,176,256
33.5,1535572,679268,467699,676166,657593,465387,483995,749000,256602,329748,271369,180962,90846,118963,78583,43091,21525,13987,17690,23104,15609,7297,1241,1813,743,554,147,294,919,34,107,625
34.5,891757,852371,453255,722127,596386,479407,490586,640267,284196,385096,271000,192364,114337,101445,61628,34853,27243,17750,24442,21487,16530,11922,2332,1368,950,476,589,486,394,275,706,2499
35.5,927002,533720,347114,637046,590844,459231,362647,532561,270313,316572,280604,221142,102696,82793,49814,40990,24627,15299,20596,16871,13848,7840,2298,2881,751,776,1022,964,2413,612,800,664
36.5,688950,318220,258981,543606,580100,499475,326000,412269,227793,303731,242109,174125,92004,80269,43575,28813,20439,11818,24125,17291,10586,8271,926,2385,588,519,404,311,616,448,286,973
37.5,507317,281207,206746,407894,498035,425213,298132,389325,176783,264491,210639,133140,109199,73817,53042,38695,28905,20701,24573,21905,15151,7537,3801,2054,1105,607,539,625,1617,273,400,1871
38.5,928597,306394,226056,394325,431684,344241,333916,342951,170978,303803,203466,126323,55464,69659,27362,34071,46696,20637,30807,18222,15315,10557,2368,3303,1721,592,227,561,1617,399,39,754
39.5,556311,319607,175515,325330,434842,309891,248445,277458,151596,252539,134940,105904,70270,49359,44920,34046,37966,15298,22489,16569,9013,7659,2838,5061,1513,746,632,625,2490,613,476,1498
40.5,305228,215051,95509,266010,545111,373546,221412,323424,148810,308980,201479,80632,54797,34964,32540,27990,36742,16961,25161,17568,19830,13597,2620,8201,1718,582,1279,1519,3105,1669,750,2283
41.5,294837,193564,85059,206861,393968,247471,182593,193137,118115,277453,159225,75326,49699,26235,36571,27230,31229,15757,20460,18016,13731,10668,3018,5032,1643,461,142,575,696,284,130,1200
42.5,225331,246243,85783,143918,324868,225997,188781,141485,97473,269787,118517,87809,38553,33085,37507,34188,44376,12082,24330,24698,13057,9797,3414,5053,2501,456,115,453,1325,737,73,880
43.5,349682,214676,57119,145897,419311,177005,188588,106355,81132,191515,133789,102132,29358,20994,34317,28305,46614,15064,24433,37048,16196,6432,3402,5052,2253,237,823,819,1625,813,556,4048
44.5,136537,213974,50722,105007,263774,130574,125758,74127,66116,187706,103277,86905,35773,27979,25812,23873,28786,12446,19729,24920,24850,6697,4001,4780,2139,129,895,655,1471,423,699,1176
45.5,127518,161498,36012,70312,286786,123462,115714,68738,58805,142018,94726,60540,35363,25372,27774,18109,25145,10502,12471,19252,11595,6920,2704,7413,1612,112,2571,686,2715,934,1472,2405
46.5,80257,114519,21155,60877,327043,91838,75319,57929,47767,106845,92565,62877,27349,20040,31045,19349,16666,12530,12126,19558,13711,5767,4211,7064,2964,197,807,350,1000,566,166,1401
47.5,83628,98482,33903,59688,232028,75103,63172,64367,32334,69907,63277,42139,23358,24990,32589,18880,20371,17214,11091,24477,12942,5160,3900,3679,2563,190,449,208,2441,856,396,985
48.5,60679,76234,18325,41293,200413,53461,56035,45377,42261,75635,93331,49263,17082,11980,15213,11118,13698,14486,7465,12495,14024,4037,4443,3273,1984,526,563,100,402,706,169,2029
49.5,61201,70980,24849,33255,145893,56739,54130,35634,14912,31611,60599,32681,16560,10993,13217,13050,10279,9924,8745,12347,8309,4875,5215,3297,2641,356,1258,358,1356,219,69,1756
50.5,63799,105651,15057,35006,68320,55883,50222,18477,21673,56282,69436,32306,10369,9730,11661,12307,9464,11241,9398,9341,8488,8314,5003,7764,2338,174,2279,255,2039,837,890,1924
51.5,13319,43294,10837,7615,72128,26092,46514,8827,15095,22756,43655,15276,14552,3730,5668,13699,3375,11685,3980,5460,8482,5955,3550,2984,1500,40,144,108,1108,687,137,630
52.5,19799,59771,9159,27858,73841,20029,52847,15089,12829,33790,30596,19690,12521,4357,6063,8506,10231,8227,4806,6635,9323,5787,3801,3652,2619,70,177,161,461,70,159,824
53.5,19579,26098,12543,22428,36788,16481,28559,4957,12278,23279,22598,17387,4504,3851,6325,10208,5274,6291,4501,6390,4676,6212,4223,2551,1949,53,144,267,872,550,253,1526
