TLength,Year
20,2010
20,2010
21,2005
21,2005
21,2005
21,2005
21,2005
23,2008
23,2008
23,2008
23,2008
23,2008
23,2008
23,2008
23,2008
23,2008
21,2003
21,2003
19,2016
19,2016
19,2016
18,2013
18,2013
18,2013
18,2013
18,2013
18,2013
21,2006
21,2006
23,2009
23,2009
23,2009
23,2009
23,2009
23,2009
23,2009
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
17,2000
16,2005
16,2005
19,2006
19,2006
19,2006
24,2008
24,2008
24,2008
24,2008
24,2008
24,2008
24,2008
18,2014
18,2014
18,2014
18,2014
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
17,2009
23,2017
23,2017
23,2017
23,2017
23,2017
23,2017
23,2017
23,2017
23,2017
19,2002
19,2002
19,2002
19,2002
19,2002
19,2002
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
21,2018
24,2017
24,2017
24,2017
24,2017
24,2017
24,2017
24,2017
20,2004
20,2004
20,2004
20,2004
20,2004
20,2004
20,2004
20,2004
20,2004
20,2004
22,2007
22,2007
22,2007
22,2007
24,2015
24,2015
24,2015
24,2015
21,2001
21,2001
19,2017
19,2017
22,2006
22,2006
22,2006
22,2006
22,2006
24,2017
24,2017
20,2012
20,2012
20,2012
20,2012
20,2012
20,2012
20,2012
20,2012
24,2014
24,2014
19,2008
19,2008
19,2008
19,2008
19,2008
19,2008
22,2003
22,2003
22,2003
22,2003
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
21,2002
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
19,2003
25,2008
25,2008
18,2002
18,2002
18,2002
22,2015
22,2015
22,2015
22,2015
22,2015
22,2015
22,2015
22,2015
22,2015
20,2011
20,2011
20,2011
19,2009
19,2009
19,2009
19,2009
23,2004
23,2004
23,2004
23,2004
23,2004
23,2004
23,2004
23,2004
23,2004
25,2006
25,2006
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
21,2000
22,2015
22,2015
22,2015
18,2005
18,2005
18,2005
18,2005
18,2013
18,2013
18,2013
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
18,2002
18,2002
18,2002
27,2017
27,2017
27,2017
27,2017
27,2017
27,2017
27,2017
25,2004
25,2004
25,2004
25,2002
25,2002
25,2002
25,2002
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2004
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
18,2006
20,2008
20,2008
20,2008
20,2008
20,2008
20,2008
21,2005
21,2005
21,2005
21,2005
21,2005
21,2005
24,2012
24,2012
24,2012
24,2012
31,2006
31,2006
31,2006
31,2006
21,2008
21,2008
21,2008
21,2008
23,2013
23,2013
24,2015
24,2015
22,2018
22,2018
22,2018
22,2018
22,2018
24,2008
24,2008
24,2008
21,2002
21,2002
21,2002
21,2002
18,2006
18,2006
22,2015
22,2015
20,2004
20,2004
20,2004
19,2004
19,2004
19,2004
19,2004
24,2016
24,2016
27,2004
27,2004
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
23,1999
18,2007
18,2007
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
22,2000
24,2014
24,2014
24,2014
22,1999
22,1999
22,1999
22,1999
22,1999
22,1999
22,1999
22,1999
22,1999
22,1999
22,1999
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
22,2007
24,2018
24,2018
24,2018
24,2018
24,2018
19,2009
19,2009
19,2009
19,2009
19,2009
19,2009
19,2009
19,2009
19,2009
20,2013
20,2013
20,2013
20,2013
20,2013
24,2004
24,2004
24,2004
26,2017
26,2017
26,2017
26,2017
26,2017
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
20,2003
18,2007
18,2007
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
20,2016
21,2004
21,2004
21,2004
21,2003
21,2003
