MeanLength,2014,2015,2016,2017,2018,2019
20.5,0,0,0,0,0,0
21.5,0,0,0,0,0,0
22.5,0,0,0,0,0,0
23.5,0,0,0,0,0,0
24.5,0,0,0,0,0,0
25.5,0,0,0,0,0,0
26.5,0,0,0,0,0,0
27.5,0,0,0,0,0,0
28.5,0,4.5,0,0,0,0
29.5,0,0,0,0,0,0
30.5,0.5,7.5,0,0,0,0.2
31.5,0.5,4.5,0,2.5,2.5,0
32.5,0,10.4,0,1.1,1.1,0
33.5,0.5,14.2,0.83,1.1,1.1,0
34.5,0.5,9,0,4.9,4.9,0
35.5,3.2,4.9,0.49,2.2,2.2,0
36.5,2.7,3,0,2.2,2.2,0.2
37.5,0.5,0.8,0,6.1,6.1,0.1
38.5,3.6,3.4,1.69,3.7,3.7,0.4
39.5,0.9,0,0.51,0.8,0.8,0.8
40.5,7.2,4.2,0.33,5.7,4.1,1.7
41.5,3.7,1.3,1.45,9.6,8.8,3.4
42.5,5.3,3.1,2.25,7.4,7.4,5.2
43.5,6.7,3,3.95,14.2,15.8,4.9
44.5,5.5,3.1,4.9,18,16.1,13.5
45.5,12.2,12.3,6.25,28.7,29.7,15.7
46.5,22,29.1,11.7,39.3,39.3,33.4
47.5,17.8,27,17.56,43.6,41.7,34.7
48.5,37.5,51.8,33.94,70.6,67.2,63.6
49.5,73.5,55,38.82,69.7,65.5,66.7
50.5,90.8,73.9,73.56,97.4,97.6,80.3
51.5,97.5,78.5,75.6,94.1,92,84.5
52.5,100.2,106.8,90.18,86.7,93,80.3
53.5,101.5,75.7,65.27,80,76,74.4
54.5,94.8,78,72.32,71,70.7,56.8
55.5,77.2,53.7,60.38,54,56.3,43.9
56.5,52.3,59.9,60.28,43.4,49.3,49.8
57.5,46.8,42.7,35.74,27.1,28.1,27
58.5,25.1,26.7,34.7,28.1,28.9,23.2
59.5,14.1,17.4,19.63,17,17,12.8
60.5,13.5,17.6,21.08,13.2,13.9,10.6
61.5,6.2,8.2,9.01,5.5,5.4,8.1
62.5,5.1,6.7,8.5,2.5,3,3.3
63.5,1.6,5.5,9.04,5.9,5.9,2.8
64.5,0.1,1.3,3.94,1.8,1.8,1.1
65.5,2.7,2.2,5.75,3.7,3.7,1
66.5,0,1.4,3.21,0.2,0.2,0.9
67.5,0,1.7,5.18,2,2,0.3
68.5,0,0.2,0.67,1.1,1.1,0.1
69.5,0,0.1,1.03,0,0,0.1
70.5,0.4,0,2.05,0.8,0.8,0
71.5,2,0,0,0,0,0
72.5,0,0,0.87,0,0,0
73.5,0,0,0,0.2,0.2,0
74.5,0,0,0,0.2,0.2,0
