MeanLength,2014,2015,2016,2017,2018,2019
20.5,23.2,23.2,23.2,23.2,23.2,23.2
21.5,26.9,26.9,26.9,26.9,26.9,26.9
22.5,31,31,31,31,31,31
23.5,35.5,35.5,35.5,35.5,35.5,35.5
24.5,40.4,40.4,40.4,40.4,40.4,40.4
25.5,45.7,45.7,45.7,45.7,45.7,45.7
26.5,51.5,51.5,51.5,51.5,51.5,51.5
27.5,57.7,57.7,57.7,57.7,57.7,57.7
28.5,64.5,64.5,64.5,64.5,64.5,64.5
29.5,71.8,71.8,71.8,71.8,71.8,71.8
30.5,79.6,79.6,79.6,79.6,79.6,79.6
31.5,88,88,88,88,88,88
32.5,96.9,96.9,96.9,96.9,96.9,96.9
33.5,106.4,106.4,106.4,106.4,106.4,106.4
34.5,116.6,116.6,116.6,116.6,116.6,116.6
35.5,127.4,127.4,127.4,127.4,127.4,127.4
36.5,138.9,138.9,138.9,138.9,138.9,138.9
37.5,151,151,151,151,151,151
38.5,163.8,163.8,163.8,163.8,163.8,163.8
39.5,177.4,177.4,177.4,177.4,177.4,177.4
40.5,191.7,191.7,191.7,191.7,191.7,191.7
41.5,206.7,206.7,206.7,206.7,206.7,206.7
42.5,222.5,222.5,222.5,222.5,222.5,222.5
43.5,239.2,239.2,239.2,239.2,239.2,239.2
44.5,256.6,256.6,256.6,256.6,256.6,256.6
45.5,274.9,274.9,274.9,274.9,274.9,274.9
46.5,294.1,294.1,294.1,294.1,294.1,294.1
47.5,314.1,314.1,314.1,314.1,314.1,314.1
48.5,335.1,335.1,335.1,335.1,335.1,335.1
49.5,357,357,357,357,357,357
50.5,379.8,379.8,379.8,379.8,379.8,379.8
51.5,403.6,403.6,403.6,403.6,403.6,403.6
52.5,428.4,428.4,428.4,428.4,428.4,428.4
53.5,454.1,454.1,454.1,454.1,454.1,454.1
54.5,481,481,481,481,481,481
55.5,508.9,508.9,508.9,508.9,508.9,508.9
56.5,537.8,537.8,537.8,537.8,537.8,537.8
57.5,567.9,567.9,567.9,567.9,567.9,567.9
58.5,599,599,599,599,599,599
59.5,631.3,631.3,631.3,631.3,631.3,631.3
60.5,664.8,664.8,664.8,664.8,664.8,664.8
61.5,699.4,699.4,699.4,699.4,699.4,699.4
62.5,735.3,735.3,735.3,735.3,735.3,735.3
63.5,772.4,772.4,772.4,772.4,772.4,772.4
64.5,810.7,810.7,810.7,810.7,810.7,810.7
65.5,850.3,850.3,850.3,850.3,850.3,850.3
66.5,891.2,891.2,891.2,891.2,891.2,891.2
67.5,933.3,933.3,933.3,933.3,933.3,933.3
68.5,976.9,976.9,976.9,976.9,976.9,976.9
69.5,1021.7,1021.7,1021.7,1021.7,1021.7,1021.7
70.5,1068,1068,1068,1068,1068,1068
71.5,1115.6,1115.6,1115.6,1115.6,1115.6,1115.6
72.5,1164.7,1164.7,1164.7,1164.7,1164.7,1164.7
73.5,1215.2,1215.2,1215.2,1215.2,1215.2,1215.2
74.5,1267.2,1267.2,1267.2,1267.2,1267.2,1267.2
