Length,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,376.05,0,0,0,0,0,0,0,0,0,0
36,0,340.38,0,25.52,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,25.52,0,0,0,0,0,124.54,0
39,0,0,0,25.52,49.86,0,0,0,0,0,0
40,0,597.39,34.64,334.69,67.45,122.3,0,0,0,0,0
41,376.05,706.62,27.99,316.27,142.42,147.83,0,79.71,0,0,0
42,0,547.01,131.92,0,184.32,270.13,0,0,0,0,0
43,1746.08,194.11,207.86,137.04,519.03,270.13,0,0,0,157.5,0
44,1128.16,1333.16,947.09,180.97,274.5,205.63,0,0,0,0,0
45,582.03,764.13,199.61,309.06,516.68,248.44,0,0,0,76.67,0
46,1015.07,1504.3,935.19,625.27,543.28,301.71,0,778.52,0,0,265.23
47,4000.79,1456.17,944.07,823.36,889.13,470.28,237.01,778.52,534.44,287.33,30.88
48,2889.65,596.73,1674.42,1093.09,461.13,546.2,36.29,778.52,0,124.54,289.56
49,5610.71,1271.22,469.59,870.39,423.54,1241,40.94,159.42,187.13,908.79,421.88
50,1019.68,732.5,673.04,1065.21,593.21,821.82,159.09,996.8,0,439.52,212.87
51,3101.71,1958.98,997.4,1199.58,423.48,696.05,444.75,135.98,374.42,832.84,837.16
52,1910.88,1100.71,2160.45,1422.7,385.91,621.55,788.53,311.72,187.28,406.9,395.99
53,1641.47,457.33,2284.74,1414.12,640.02,1037.98,145.15,0,628.08,436.53,505.69
54,548.84,704.6,1308.34,1136.63,737.91,1153.04,747.59,0,721.72,353.74,646.28
55,821.16,827.63,1774.84,597.52,576.57,820.11,1810.87,0,280.92,648.51,363.98
56,128.5,715.41,1861.66,698.39,428.31,670.94,1343.74,1464.67,280.92,925.63,212.87
57,582.11,796.44,1998.03,1176.54,591.37,420.88,118.16,1450.56,468.06,662.31,431.27
58,99.07,1095.91,1529.93,386.1,537.08,300.37,871.09,852.92,280.92,627.45,400.39
59,297.59,1873.66,1316.25,832.96,489.5,544.62,538.78,1401.23,534.44,227.8,412.55
60,0,784.9,1544.86,977.57,351.69,153.53,493.2,1243.78,1002.5,512.63,75.56
61,1632.71,664.47,1155.49,554.59,252.52,114.91,149.8,2063.57,5380.91,308.62,61.75
62,181.13,1800.17,1509.5,352.56,149.67,31.58,488.93,1218.79,0,125.94,92.63
63,376.05,985.6,1439.54,396.25,152.93,83.33,40.94,0,0,279.29,0
64,1128.16,197.57,355.39,336.43,60.87,31.58,0,0,534.44,0,436.28
65,0,172.87,443.76,25.52,20.72,31.58,65.03,121.87,0,0,0
66,0,353.07,34.64,155.25,0,0,0,0,0,76.67,0
67,0,293.98,69.29,0,0,0,0,0,0,0,0
68,0,125.09,143.7,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0
70,0,293.98,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
