Length,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5,179.5
33,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1,198.1
34,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
35,239.2,239.2,239.2,239.2,239.2,239.2,239.2,239.2,239.2,239.2,239.2
37,285.8,285.8,285.8,285.8,285.8,285.8,285.8,285.8,285.8,285.8,285.8
38,311.3,311.3,311.3,311.3,311.3,311.3,311.3,311.3,311.3,311.3,311.3
39,338.3,338.3,338.3,338.3,338.3,338.3,338.3,338.3,338.3,338.3,338.3
40,366.9,366.9,366.9,366.9,366.9,366.9,366.9,366.9,366.9,366.9,366.9
41,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1,397.1
42,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0
43,462.6,462.6,462.6,462.6,462.6,462.6,462.6,462.6,462.6,462.6,462.6
44,497.9,497.9,497.9,497.9,497.9,497.9,497.9,497.9,497.9,497.9,497.9
45,535.1,535.1,535.1,535.1,535.1,535.1,535.1,535.1,535.1,535.1,535.1
46,574.1,574.1,574.1,574.1,574.1,574.1,574.1,574.1,574.1,574.1,574.1
47,615.1,615.1,615.1,615.1,615.1,615.1,615.1,615.1,615.1,615.1,615.1
48,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0
49,702.9,702.9,702.9,702.9,702.9,702.9,702.9,702.9,702.9,702.9,702.9
50,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
51,799.1,799.1,799.1,799.1,799.1,799.1,799.1,799.1,799.1,799.1,799.1
52,850.4,850.4,850.4,850.4,850.4,850.4,850.4,850.4,850.4,850.4,850.4
53,903.9,903.9,903.9,903.9,903.9,903.9,903.9,903.9,903.9,903.9,903.9
54,959.7,959.7,959.7,959.7,959.7,959.7,959.7,959.7,959.7,959.7,959.7
55,1017.8,1017.8,1017.8,1017.8,1017.8,1017.8,1017.8,1017.8,1017.8,1017.8,1017.8
56,1078.3,1078.3,1078.3,1078.3,1078.3,1078.3,1078.3,1078.3,1078.3,1078.3,1078.3
57,1141.2,1141.2,1141.2,1141.2,1141.2,1141.2,1141.2,1141.2,1141.2,1141.2,1141.2
58,1206.6,1206.6,1206.6,1206.6,1206.6,1206.6,1206.6,1206.6,1206.6,1206.6,1206.6
59,1274.5,1274.5,1274.5,1274.5,1274.5,1274.5,1274.5,1274.5,1274.5,1274.5,1274.5
60,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0
61,1418.2,1418.2,1418.2,1418.2,1418.2,1418.2,1418.2,1418.2,1418.2,1418.2,1418.2
62,1494.1,1494.1,1494.1,1494.1,1494.1,1494.1,1494.1,1494.1,1494.1,1494.1,1494.1
63,1572.6,1572.6,1572.6,1572.6,1572.6,1572.6,1572.6,1572.6,1572.6,1572.6,1572.6
64,1654.0,1654.0,1654.0,1654.0,1654.0,1654.0,1654.0,1654.0,1654.0,1654.0,1654.0
65,1738.3,1738.3,1738.3,1738.3,1738.3,1738.3,1738.3,1738.3,1738.3,1738.3,1738.3
66,1825.4,1825.4,1825.4,1825.4,1825.4,1825.4,1825.4,1825.4,1825.4,1825.4,1825.4
67,1915.5,1915.5,1915.5,1915.5,1915.5,1915.5,1915.5,1915.5,1915.5,1915.5,1915.5
68,2008.7,2008.7,2008.7,2008.7,2008.7,2008.7,2008.7,2008.7,2008.7,2008.7,2008.7
69,2104.8,2104.8,2104.8,2104.8,2104.8,2104.8,2104.8,2104.8,2104.8,2104.8,2104.8
70,2204.2,2204.2,2204.2,2204.2,2204.2,2204.2,2204.2,2204.2,2204.2,2204.2,2204.2
71,2306.6,2306.6,2306.6,2306.6,2306.6,2306.6,2306.6,2306.6,2306.6,2306.6,2306.6
72,2412.4,2412.4,2412.4,2412.4,2412.4,2412.4,2412.4,2412.4,2412.4,2412.4,2412.4
73,2521.4,2521.4,2521.4,2521.4,2521.4,2521.4,2521.4,2521.4,2521.4,2521.4,2521.4
74,2633.7,2633.7,2633.7,2633.7,2633.7,2633.7,2633.7,2633.7,2633.7,2633.7,2633.7
75,2749.5,2749.5,2749.5,2749.5,2749.5,2749.5,2749.5,2749.5,2749.5,2749.5,2749.5
