MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
23,712,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,,312,2187,,,,,,,,,,,,,,,,,,,,85,,,,,,
25,3196,103,8374,4769,,,,,,,,,,,,,,,,,,,,0,,,,,,
26,6328,2976,8855,7165,,,,,,,,,59,,359,,,361,,,,,,0,,,,,,
27,11102,266,21366,16787,,802,2529,,,793,318,,120,,2708,1172,25,0,,,,,,383,,,,,,
28,14691,807,12857,13052,,0,819,,,886,193,441,14,143,267,1696,0,151,,,,,,851,429,,,,,7
29,17847,4828,24960,6862,4122,0,2463,,1033,793,926,1940,191,792,2839,1172,293,82,65,760,21,,,383,429,,,,,17
30,46500,15696,37383,15575,9248,0,1041,9806,0,7604,876,1522,616,1346,9366,4369,2373,282,3111,1599,17,86,,282,1564,,,70,,16
31,60750,22805,49206,41475,13389,0,7511,21057,12918,17497,4006,2974,1624,1594,6402,4667,1689,470,3357,730,69,168,33,1747,1210,,,0,,71
32,47793,28083,83461,61350,29176,7434,8709,17492,17725,11542,4364,2940,1712,1637,11353,5714,5242,617,9660,2936,21,86,203,1739,785,,30,40,,78
33,85717,38447,110700,78349,49683,12028,19156,21681,15533,24105,10785,1683,3723,3692,12956,7165,3676,2962,2523,2564,99,69,0,1089,1770,,87,97,,112
34,69675,43165,130524,57549,56417,20874,14760,28434,39577,23167,15532,8557,5536,2736,12216,10780,5448,903,6067,3082,99,380,0,2263,2049,,9,169,,117
35,115187,70088,154011,104374,61316,38820,40867,34235,36696,28107,7069,8957,7070,5190,10906,9639,10674,5881,4444,2926,2871,360,207,1810,2254,,352,971,,196
36,97887,75166,176028,109387,77465,40297,41627,28000,43145,24848,21769,9673,8468,3598,5910,7194,3816,2798,10588,3027,1994,436,208,2811,6237,,191,607,,215
37,88689,60691,129179,63844,72723,48831,60212,18752,62131,47775,21533,10430,7084,4886,4488,8070,2113,5408,9844,2737,1224,244,597,2202,3865,,292,392,,350
38,99746,65983,123784,83040,61040,51144,65879,27682,37243,39331,30908,15514,13510,9611,10667,6006,6084,6764,8391,2632,2842,923,383,3721,2861,,289,1221,90,380
39,68216,55216,93143,49522,72761,51020,83851,27367,46138,45030,20151,16946,8733,9646,6855,13617,5764,6327,3340,5685,3534,546,1943,673,5616,196,287,606,182,512
40,108082,58333,92856,58719,54209,51708,103174,37021,58152,48750,38399,20753,9750,7796,9964,15280,4326,9233,12024,6318,7173,522,1512,1197,3998,254,1156,854,1035,477
41,49603,63121,50056,27856,54862,37494,117304,37849,39664,40742,26513,13967,10271,8731,5650,11901,3471,7828,5156,4344,1341,502,1957,1381,2253,0,223,493,233,423
42,38537,47556,40038,24333,35161,35848,122733,41420,49800,45657,28627,12988,8394,8503,4102,7194,5522,6521,9284,9444,1001,767,1690,1375,3161,0,1072,715,597,398
43,38335,28164,50744,27729,30331,20126,67283,41174,40404,29572,18889,15219,6030,5214,7681,3467,4321,17261,6480,4019,1299,451,1778,1015,1097,234,435,617,646,346
44,16811,27201,33200,16670,16082,25323,77731,38156,45514,20311,25510,14958,6973,5648,10303,11448,8140,3789,4350,6797,1519,738,2197,1507,1923,234,1896,574,1587,283
45,12308,13068,36484,16295,13593,18609,74612,37325,25197,23394,19679,15181,6595,4913,4480,5818,4414,6639,7493,5781,1574,1060,2480,848,3909,485,606,1160,1745,212
46,5217,8982,26486,9153,11212,4057,52175,36187,28786,13077,11391,11088,5587,4851,2035,3013,3538,4098,2907,3459,1975,1057,727,603,2164,194,632,819,1775,199
47,8647,9607,7381,9885,12160,12028,30804,26110,31299,7438,9380,12860,4760,3544,3998,4334,4437,2105,2635,4646,1063,1187,2273,14,1479,0,828,918,917,245
48,2628,13410,4717,14105,10494,7381,22080,24437,20353,8782,9278,10799,5221,3591,1439,2200,3105,2407,2683,3598,1260,733,1790,354,1302,465,1233,60,509,127
49,5741,6557,2996,5264,3396,3955,20791,10364,13207,11124,7064,10989,2564,4186,2143,7457,2964,2358,1416,4714,892,309,948,0,354,234,1042,291,464,156
50,5052,4392,3558,2629,6644,4519,23622,11987,33636,9093,7624,8509,4881,3417,1546,2785,1839,4492,3213,3688,1950,21,1964,584,520,1466,970,606,497,68
