MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
23,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513,9.137853513
24,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852,10.42299852
25,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541,11.82645541
26,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225,13.35383225
27,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193,15.01077193
28,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099,16.80295099
29,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868,18.73607868
30,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959,20.8158959
31,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432,23.04817432
32,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558,25.43871558
