MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
22.5,0,0,0,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,6145,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,1920,0,1528,6622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,1920,0,9997,6622,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,1357,207,12384,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0
27.5,3975,3876,10738,9212,536,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,8064,2037,10082,2132,0,0,263,0,0,900,40,0,152,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,10988,3694,18878,289,443,3160,0,0,0,7032,0,0,30,0,942,1342,527,361,0,0,0,0,0,0,0,0,0,40,0,3
30.5,51262,10763,12451,32097,5069,3829,387,4678,1734,5912,521,531,368,321,2789,2326,618,427,0,0,33,89,0,713,178,0,0,0,0,12
31.5,67472,26225,15619,25636,23807,1899,1196,5865,4360,11011,1951,1320,725,2094,2442,5616,2044,433,2964,954,48,89,0,690,0,0,25,40,0,136
32.5,65425,40376,69938,24317,32426,5960,5241,18592,6523,12979,6329,1908,2082,2290,6189,1342,1687,604,5990,572,0,105,324,469,356,104,0,4,0,37
33.5,55067,42919,48796,54576,39159,12334,4028,22758,15214,26476,6812,1162,1684,2049,6598,6006,2689,2880,2396,1455,7,178,203,308,178,0,250,70,0,29
