MeanLength,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,0,0
22.5,0,0,0,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,8.64,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,9.88,0,9.88,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,11.24,0,11.24,11.24,0,0,0,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,12.73,12.73,12.73,0,0,0,0,0,0,0,0,0,12.73,0,0,0,0,0,12.73,0,0,0,0,0,0,0,0,0,0,0
27.5,14.34,14.34,14.34,14.34,14.34,0,0,0,0,0,0,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,16.09,16.09,16.09,16.09,0,0,16.09,0,0,16.09,16.09,0,16.09,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,17.97,17.97,17.97,17.97,17.97,17.97,0,0,0,17.97,0,0,17.97,0,17.97,17.97,17.97,17.97,0,0,0,0,0,0,0,0,0,17.97,0,17.97
30.5,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,0,0,20.01,20.01,0,20.01,20.01,0,0,0,0,20.01
31.5,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,22.19,0,22.19,0,0,22.19,22.19,0,22.19
32.5,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,0,24.53,24.53,24.53,24.53,24.53,0,24.53,0,24.53
33.5,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,0,27.04,27.04,0,27.04
34.5,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,0,29.71,29.71,0,29.71,29.71,0,29.71
35.5,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56,32.56
36.5,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,35.59,0,35.59,35.59,35.59,35.59
37.5,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,38.81,0,38.81,38.81,38.81,38.81
38.5,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23,42.23
39.5,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,45.84,0,45.84,45.84,0,45.84
40.5,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66
41.5,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69
42.5,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,57.93,0,57.93,57.93,57.93,57.93
