MeanLength,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
24.5,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92,197.92
25.5,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41,224.41
26.5,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22,253.22
27.5,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45,284.45
28.5,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21,318.21
29.5,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6,354.6
30.5,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73,393.73
31.5,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71,435.71
32.5,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63,480.63
33.5,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61,528.61
34.5,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76,579.76
35.5,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18,634.18
36.5,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99,691.99
37.5,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28,753.28
38.5,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17,818.17
39.5,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77,886.77
40.5,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2
41.5,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55,1035.55
42.5,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94,1115.94
43.5,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48,1200.48
44.5,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28,1289.28
45.5,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47,1382.47
46.5,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13,1480.13
47.5,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4,1582.4
48.5,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38,1689.38
49.5,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19,1801.19
50.5,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93,1917.93
51.5,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73,2039.73
52.5,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7,2166.7
53.5,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95,2298.95
54.5,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6,2436.6
55.5,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75,2579.75
56.5,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54,2728.54
57.5,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07,2883.07
58.5,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46,3043.46
59.5,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83,3209.83
60.5,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29,3382.29
61.5,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95,3560.95
62.5,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95,3745.95
