"length","2010","2011","2012","2013","2014","2015","2016","2017","2018"
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,6928,66,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,7173,0,0,0,0
6,0,4594,0,0,7173,0,11575.4,31304,0
7,18429,31215,6996,3693,0,4963,34677,118455.1,0
8,8248,116233,12314,10378,31357,13539,72501.6,426494.1,0
9,147123.84,430093,173851,71881,20904.7,142945.7,99229,776284.6,33362.4
10,134986.38,922364,222968,184372,144767.1,372519.9,200157.3,809372.5,84402.4
11,323223.51,1103264,415251,519922.5,291461.2,589279.2,395842.5,1105893.8,187171.4
12,478541.3,1649013,478345,376163.8,569442,1062267,867856.7,1127662,317540.8
13,1130437.9,1645906,742678,709827.5,890072.5,1488344,902807.3,960175.6,538662.4
14,2056900.3,1905859,1186015,1495495.4,1159710.8,2400827.3,813387.9,705064.5,655565.5
15,2748055.8,2292497,1780748,1791211.7,1389368.7,3588393.9,941777.7,870461.4,740683
16,3135237.8,2689802,1565651,2152706.1,1673694.8,3338199.2,1490836,1099211.2,1005272.2
17,2580003.5,2959401,1465310,2639252.5,1852449.5,3044058.9,1869282.4,1423959.4,1119603
18,2740474.8,2854554,1226776,3788918.4,2392797.2,3274071.8,1932895.2,2069534.6,1469138.8
19,1830740.5,2868270,1921557.9,3072736.2,2368443.4,2357613.6,2595310,3229635.5,1354589.2
20,2706069.3,2765489,1748894,3860293.3,2919540.6,3033500,2821851,3900129.9,1992469.4
21,1928112.1,2279495.5,1684738,4269424.4,2956838,2337570,2502907.4,3472479.6,1915848.1
22,2378412.7,2171927,2038462,4476659,4035343,2382857,2657347.3,2796189.43,2017047.7
23,1691132,1639949,2383726,3716099.8,3542082,1817703.2,2893086.6,2192428.26,2243987.7
24,1627320.7,1786168,1741993.7,2304453.9,3172579,1705725.4,2790272.6,1882258.4,1770711.3
25,1642340.9,1256995,1921903,1766346.9,3384800,2018970.7,2831723.4,1328256.6,1679798
26,1481225.4,1315547,1725684,2446034,2790936,3117077,2973389,1080802.9,1891857
27,2204856,1408959,1819779,2156962,2379764,2002793,2561026,1007141,2652257
28,2387068,1751598,2135185,2174567,2238959,2419375,2729909,1276291,2741944
29,2399492,1729669,2609092,1912686,2084554,2915210,2303189,1185759,2318149
