MeanLength,2010,2011,2012,2013,2014,2015,2016,2017,2018
15.5,0.041082707,0.041082707,0.041082707,0.041082707,0.041082707,0.041082707,0.041082707,0.041082707,0.041082707
16.5,0.049571865,0.049571865,0.049571865,0.049571865,0.049571865,0.049571865,0.049571865,0.049571865,0.049571865
17.5,0.059157527,0.059157527,0.059157527,0.059157527,0.059157527,0.059157527,0.059157527,0.059157527,0.059157527
18.5,0.069906448,0.069906448,0.069906448,0.069906448,0.069906448,0.069906448,0.069906448,0.069906448,0.069906448
19.5,0.081885402,0.081885402,0.081885402,0.081885402,0.081885402,0.081885402,0.081885402,0.081885402,0.081885402
20.5,0.095161175,0.095161175,0.095161175,0.095161175,0.095161175,0.095161175,0.095161175,0.095161175,0.095161175
21.5,0.109800573,0.109800573,0.109800573,0.109800573,0.109800573,0.109800573,0.109800573,0.109800573,0.109800573
22.5,0.125870412,0.125870412,0.125870412,0.125870412,0.125870412,0.125870412,0.125870412,0.125870412,0.125870412
23.5,0.143437525,0.143437525,0.143437525,0.143437525,0.143437525,0.143437525,0.143437525,0.143437525,0.143437525
24.5,0.162568756,0.162568756,0.162568756,0.162568756,0.162568756,0.162568756,0.162568756,0.162568756,0.162568756
25.5,0.183330961,0.183330961,0.183330961,0.183330961,0.183330961,0.183330961,0.183330961,0.183330961,0.183330961
26.5,0.205791011,0.205791011,0.205791011,0.205791011,0.205791011,0.205791011,0.205791011,0.205791011,0.205791011
27.5,0.230015786,0.230015786,0.230015786,0.230015786,0.230015786,0.230015786,0.230015786,0.230015786,0.230015786
28.5,0.256072178,0.256072178,0.256072178,0.256072178,0.256072178,0.256072178,0.256072178,0.256072178,0.256072178
29.5,0.284027089,0.284027089,0.284027089,0.284027089,0.284027089,0.284027089,0.284027089,0.284027089,0.284027089
30.5,0.313947432,0.313947432,0.313947432,0.313947432,0.313947432,0.313947432,0.313947432,0.313947432,0.313947432
31.5,0.34590013,0.34590013,0.34590013,0.34590013,0.34590013,0.34590013,0.34590013,0.34590013,0.34590013
32.5,0.379952116,0.379952116,0.379952116,0.379952116,0.379952116,0.379952116,0.379952116,0.379952116,0.379952116
33.5,0.416170331,0.416170331,0.416170331,0.416170331,0.416170331,0.416170331,0.416170331,0.416170331,0.416170331
34.5,0.454621727,0.454621727,0.454621727,0.454621727,0.454621727,0.454621727,0.454621727,0.454621727,0.454621727
35.5,0.495373262,0.495373262,0.495373262,0.495373262,0.495373262,0.495373262,0.495373262,0.495373262,0.495373262
36.5,0.538491906,0.538491906,0.538491906,0.538491906,0.538491906,0.538491906,0.538491906,0.538491906,0.538491906
37.5,0.584044635,0.584044635,0.584044635,0.584044635,0.584044635,0.584044635,0.584044635,0.584044635,0.584044635
38.5,0.632098433,0.632098433,0.632098433,0.632098433,0.632098433,0.632098433,0.632098433,0.632098433,0.632098433
39.5,0.682720293,0.682720293,0.682720293,0.682720293,0.682720293,0.682720293,0.682720293,0.682720293,0.682720293
40.5,0.735977216,0.735977216,0.735977216,0.735977216,0.735977216,0.735977216,0.735977216,0.735977216,0.735977216
41.5,0.791936208,0.791936208,0.791936208,0.791936208,0.791936208,0.791936208,0.791936208,0.791936208,0.791936208
42.5,0.850664285,0.850664285,0.850664285,0.850664285,0.850664285,0.850664285,0.850664285,0.850664285,0.850664285
43.5,0.912228469,0.912228469,0.912228469,0.912228469,0.912228469,0.912228469,0.912228469,0.912228469,0.912228469
44.5,0.976695788,0.976695788,0.976695788,0.976695788,0.976695788,0.976695788,0.976695788,0.976695788,0.976695788
45.5,1.044133279,1.044133279,1.044133279,1.044133279,1.044133279,1.044133279,1.044133279,1.044133279,1.044133279
46.5,1.114607984,1.114607984,1.114607984,1.114607984,1.114607984,1.114607984,1.114607984,1.114607984,1.114607984
47.5,1.188186951,1.188186951,1.188186951,1.188186951,1.188186951,1.188186951,1.188186951,1.188186951,1.188186951
48.5,1.264937237,1.264937237,1.264937237,1.264937237,1.264937237,1.264937237,1.264937237,1.264937237,1.264937237
49.5,1.344925902,1.344925902,1.344925902,1.344925902,1.344925902,1.344925902,1.344925902,1.344925902,1.344925902
50.5,1.428220013,1.428220013,1.428220013,1.428220013,1.428220013,1.428220013,1.428220013,1.428220013,1.428220013
51.5,1.514886645,1.514886645,1.514886645,1.514886645,1.514886645,1.514886645,1.514886645,1.514886645,1.514886645
52.5,1.604992876,1.604992876,1.604992876,1.604992876,1.604992876,1.604992876,1.604992876,1.604992876,1.604992876
53.5,1.698605792,1.698605792,1.698605792,1.698605792,1.698605792,1.698605792,1.698605792,1.698605792,1.698605792
54.5,1.795792483,1.795792483,1.795792483,1.795792483,1.795792483,1.795792483,1.795792483,1.795792483,1.795792483
55.5,1.896620046,1.896620046,1.896620046,1.896620046,1.896620046,1.896620046,1.896620046,1.896620046,1.896620046
56.5,2.001155582,2.001155582,2.001155582,2.001155582,2.001155582,2.001155582,2.001155582,2.001155582,2.001155582
57.5,2.109466197,2.109466197,2.109466197,2.109466197,2.109466197,2.109466197,2.109466197,2.109466197,2.109466197
58.5,2.221619005,2.221619005,2.221619005,2.221619005,2.221619005,2.221619005,2.221619005,2.221619005,2.221619005
59.5,2.337681122,2.337681122,2.337681122,2.337681122,2.337681122,2.337681122,2.337681122,2.337681122,2.337681122
60.5,2.457719671,2.457719671,2.457719671,2.457719671,2.457719671,2.457719671,2.457719671,2.457719671,2.457719671
61.5,2.581801779,2.581801779,2.581801779,2.581801779,2.581801779,2.581801779,2.581801779,2.581801779,2.581801779
62.5,2.709994579,2.709994579,2.709994579,2.709994579,2.709994579,2.709994579,2.709994579,2.709994579,2.709994579
63.5,2.842365206,2.842365206,2.842365206,2.842365206,2.842365206,2.842365206,2.842365206,2.842365206,2.842365206
64.5,2.978980803,2.978980803,2.978980803,2.978980803,2.978980803,2.978980803,2.978980803,2.978980803,2.978980803
65.5,3.119908517,3.119908517,3.119908517,3.119908517,3.119908517,3.119908517,3.119908517,3.119908517,3.119908517
66.5,3.265215497,3.265215497,3.265215497,3.265215497,3.265215497,3.265215497,3.265215497,3.265215497,3.265215497
67.5,3.414968901,3.414968901,3.414968901,3.414968901,3.414968901,3.414968901,3.414968901,3.414968901,3.414968901
68.5,3.569235887,3.569235887,3.569235887,3.569235887,3.569235887,3.569235887,3.569235887,3.569235887,3.569235887
69.5,3.728083619,3.728083619,3.728083619,3.728083619,3.728083619,3.728083619,3.728083619,3.728083619,3.728083619
70.5,3.891579268,3.891579268,3.891579268,3.891579268,3.891579268,3.891579268,3.891579268,3.891579268,3.891579268
71.5,4.059790004,4.059790004,4.059790004,4.059790004,4.059790004,4.059790004,4.059790004,4.059790004,4.059790004
72.5,4.232783006,4.232783006,4.232783006,4.232783006,4.232783006,4.232783006,4.232783006,4.232783006,4.232783006
73.5,4.410625454,4.410625454,4.410625454,4.410625454,4.410625454,4.410625454,4.410625454,4.410625454,4.410625454
74.5,4.593384534,4.593384534,4.593384534,4.593384534,4.593384534,4.593384534,4.593384534,4.593384534,4.593384534
75.5,4.781127435,4.781127435,4.781127435,4.781127435,4.781127435,4.781127435,4.781127435,4.781127435,4.781127435
76.5,4.97392135,4.97392135,4.97392135,4.97392135,4.97392135,4.97392135,4.97392135,4.97392135,4.97392135
77.5,5.171833476,5.171833476,5.171833476,5.171833476,5.171833476,5.171833476,5.171833476,5.171833476,5.171833476
78.5,5.374931015,5.374931015,5.374931015,5.374931015,5.374931015,5.374931015,5.374931015,5.374931015,5.374931015
79.5,5.583281172,5.583281172,5.583281172,5.583281172,5.583281172,5.583281172,5.583281172,5.583281172,5.583281172
80.5,5.796951154,5.796951154,5.796951154,5.796951154,5.796951154,5.796951154,5.796951154,5.796951154,5.796951154
81.5,6.016008174,6.016008174,6.016008174,6.016008174,6.016008174,6.016008174,6.016008174,6.016008174,6.016008174
82.5,6.240519448,6.240519448,6.240519448,6.240519448,6.240519448,6.240519448,6.240519448,6.240519448,6.240519448
83.5,6.470552196,6.470552196,6.470552196,6.470552196,6.470552196,6.470552196,6.470552196,6.470552196,6.470552196
84.5,6.706173641,6.706173641,6.706173641,6.706173641,6.706173641,6.706173641,6.706173641,6.706173641,6.706173641
85.5,6.94745101,6.94745101,6.94745101,6.94745101,6.94745101,6.94745101,6.94745101,6.94745101,6.94745101
86.5,7.194451533,7.194451533,7.194451533,7.194451533,7.194451533,7.194451533,7.194451533,7.194451533,7.194451533
87.5,7.447242443,7.447242443,7.447242443,7.447242443,7.447242443,7.447242443,7.447242443,7.447242443,7.447242443
88.5,7.705890979,7.705890979,7.705890979,7.705890979,7.705890979,7.705890979,7.705890979,7.705890979,7.705890979
89.5,7.97046438,7.97046438,7.97046438,7.97046438,7.97046438,7.97046438,7.97046438,7.97046438,7.97046438
90.5,8.24102989,8.24102989,8.24102989,8.24102989,8.24102989,8.24102989,8.24102989,8.24102989,8.24102989
91.5,8.517654756,8.517654756,8.517654756,8.517654756,8.517654756,8.517654756,8.517654756,8.517654756,8.517654756
92.5,8.800406229,8.800406229,8.800406229,8.800406229,8.800406229,8.800406229,8.800406229,8.800406229,8.800406229
93.5,9.089351563,9.089351563,9.089351563,9.089351563,9.089351563,9.089351563,9.089351563,9.089351563,9.089351563
94.5,9.384558014,9.384558014,9.384558014,9.384558014,9.384558014,9.384558014,9.384558014,9.384558014,9.384558014
95.5,9.686092843,9.686092843,9.686092843,9.686092843,9.686092843,9.686092843,9.686092843,9.686092843,9.686092843
96.5,9.994023312,9.994023312,9.994023312,9.994023312,9.994023312,9.994023312,9.994023312,9.994023312,9.994023312
97.5,10.30841669,10.30841669,10.30841669,10.30841669,10.30841669,10.30841669,10.30841669,10.30841669,10.30841669
